Gene	1-NX-7-D3	2-JYP-5-D3	2-JYP-7-D3	2-JYP-8-D3	3-zhang-1-D3	4-zhou-2-D3	1-NX-2-D3	3-zhang-7-D3	4-zhou-1-D3	5-li-4-D3	6-zhang-2-D3	7-di-3-D3	8-liu-10-D3	4-zhou-8-D3	5-li-6-D3	5-li-13-D3	6-zhang-6-D3	8-liu-15-D3	9-shi-2-D3	11-yao-2-D3	12-wen-13-D3	13-jin-3-D3	13-jin-7-D3	2-JYP-9-D3	4-zhou-9-D3	6-z-12-D3	7-di-7-D3	8-liu-9-D3	1-NX-4-D3	3-zhang-6-D3	12-wen-6-D3	5-li-1-D3	17-chen-3-D3	14-zhang-5-D3	15-zhou-11-D3	18-xu-11-D3	19-lu-10-D3	20-li-5-D3	20-li-11-D3	21-lu-11-D3	22-wang-4-D3	22-wang-8-D3	24-liu-7-D3	9-shi-10-D3	11-yao-1-D3	13-jin-8-D3	14-zhang-2-D3	15-zhou-3-D3	18-xu-10-D3	22-wang-9-D3	26-qi-8-D3	28-sun-4-D3	29-li-5-D3	16-zheng-7-D3	19-lu-6-D3	21-lu-10-D3	23-cai-8-D3	24-liu-5-D3	25-qin-2-D3	26-qi-6-D3	26-qi-7-D3	28-sun-3-D3	29-li-8-D3	30-xiang-6-D3	30-xiang-7-D3	30-xiang-8-D3	32-wang-7-D3	35-xie-7-D3	35-xie-4-D3	36-qi-1-D3	38-dong-14-D3	41-zhou-8-D3	43-feng-10-D3	35-xie-9-D3	36-qi-7-D3	36-qi-8-D3	36-qi-18-D3	37-liao-2-D3	38-dong-10-D3	38-dong-13-D3	40-lin-12-D3	40-lin-15-D3	41-zhou-1-D3	27-lin-7-D3	30-xiang-11-D3	31-wu-6-D3	32-wang-1-D3	37-liao-5-D3	46-li-3-D3	49-xu-2-D3	58-chen-6-D3	20-li-8-D3	44-huang-4-D3	42-xu-7-D3	42-xu-17-D3	43-feng-13-D3	46-li-5-D3	48-shen-5-D3	48-shen-8-D3	48-shen-9-D3	49-xu-9-D3	51-gao-3-D3	51-gao-6-D3	39-wu-8-D3	40-lin-9-D3	42-xu-16-D3	45-cheng-1-D3	47-nian-7-D3	50-lai-9-D3	51-gao-5-D3	53-lang-6-D3	54-li-3-D3	55-xu-8-D3	52-wu-6-D3	52-wu-11-D3	53-lang-16-D3	58-chen-7-D3	57-zhao-2-D3	59-meng-3-D3
A2ML1	32.46	0	0	0	4.17	0	0	0	0	0	0	0	0	0	0	0	0	7.39	0	0	0	0	0	0	0	0	1.84	0	0	5.11	0	0	0	3.2	0	0	0	0	0.99	0	1.5	20.4	0	6.56	0	0	0	567.49	0	0	0	1.09	0	0	36.14	0	13.06	512.11	0	3.59	1.21	1.18	3.27	0	11.73	0	0	0	0	0	0	0	0	11.55	959.53	0	0	0	0	7.56	0	17.87	0	3.18	643.51	0	0	8.96	0	0	54.09	12.49	3.8	0	0	0	0	0	0	8.91	0	0	0	6.82	0.31	0	1.98	0	23.31	12.04	2	0	0	7.18	25.54	17.7	8.55	121.1	3.53
ABCA2	0	0	0	0	0	0	3.27	0	0	0	0	0	0	0	0	0	1.54	0	0	0	0	11.34	0	0	0	0	3.39	0	0	0	0	0.72	0	9.59	3.65	67.49	0	0	22.02	1.78	24.23	0	0	0	0	0	0	0	0	0	1.6	6.12	0	0.52	4.78	12.33	0	2.39	2.43	24.24	2.57	19.79	0.89	0	17.42	0	0	0	0	0	0	1.37	0	0	0	0	10.7	0	0	0	0	12.55	0	0	0	0	0	0	0	5	0.16	0	0	5.29	1.76	3.86	0	0	3.39	14.33	0	12.49	1.43	1.66	0	7.59	23.47	3.32	0	0	4.56	0	0	0.51	0	0.9	1.89	9.96	4.79
ABCB9	0	9.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.03	0	0	9.9	0	88.24	0	0	0	0	0	0	6.78	0	0	0.59	0	0	0.27	0	0	0	0	0	0.48	0	0	3.26	60.91	0	0	0	0	0	0	0	0	0	0	0	0	0	38.44	14.66	0	16.8	0	0	176.37	15.03	42.84	0	0	0	0.56	0	0	7.47	0	0	31.56	0	4.28	0	0	0	0	0	1.88	0	0	0	0.58	0.96	0	0	0	11.9	3.89	0	18.21	0	0	15.08	0	9.65
ABCC3	4.45	0	0	0	2.29	4.45	0	13.33	16.23	1.92	4.49	0	0.45	0	0	0	1.57	0	55.28	0	0	0	0	0	0	0	0	0	0	0	0	0	2.48	60.03	6.03	3.95	12.99	79.29	119.77	359.28	5.51	26.9	9.4	0	0	0	0	0	9.37	0	9.38	12.99	0	9.65	0	4.45	0	0	5.78	0	21.21	439.34	6.77	0	0	0	0	0	0	18.57	0	0	0	0	35.47	0	55.4	0	0	0	0	1.43	22.09	28.37	0	0	0	7.31	0	143.51	0	3.33	0	46.84	40.58	0	0	0	12.84	0.49	109.69	0	0	0	0	12.7	344.89	36.26	0	14.37	24.73	85.67	13.28	4.44	22	194.98	3.2	5.36	3.03
ABHD14B	6.42	0	0	6.36	0	0	0	0	4.6	0	0	0	0	5.03	0	0	2.67	0	0	0	0	0	10.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	11.73	8.74	0	0	12.66	0	9.18	3.22	7.78	6.2	0	0	4.67	1.46	8.58	0	0	27.44	5.48	0	0	9.09	0	0	0	0	0	0	0	0	19.69	0	0	0	0	0	0	0	0	0	0	0	0	11.52	0	23.52	0	0	0	0	0	1.89	2.68	19.24	0.78	0	0	0	0	1.69	0	9.41	0	18.68	0	19.59	52.69	12.83	14.92	21.72	22.58	148.33	40.58	8.71	26.44	48.86	0	0	236.04
ABHD4	15.65	0	4.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89	0	4.95	0	0	0	0	0	0	0	0	37.69	2.29	0	16.43	3.68	0	0	0	44.5	0	0	0	0	0	0	0	0	0	0	37.23	0	0	0	0	0	9.08	0	0	140.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.48	0	0	98.37	0	2.15	0	0	0	78.21	0	7.12	0	69.16	0	0	9.43	44.64	103.12	4.95	0
ABL1	11.53	7.57	0	4.24	0	0	0	0	2.26	9.27	6.85	1.38	4.36	1.3	1.81	11.67	0	0.65	0	0	9.09	4.18	0	21.69	27.34	6.63	0	0	0	0	25.78	0.91	0	23.57	66.05	42.68	45	0	867.94	27.53	53.59	16.69	0	19.23	18.62	18.93	4.27	7.09	23.3	5.65	6.35	6.25	16.3	7.35	5.19	4.65	3.82	2.33	2.87	0	0.52	38.28	8	16.66	0	0	0	0	0	0	0	0	1.99	0	12.05	3.51	40.97	0	0	0	0	4.18	19.84	11.58	0	21.58	0	29.49	0	8.23	0.66	21.57	0	2.82	4.28	4.31	0	0	28.72	10.1	0	43.33	0	3.6	4.69	37.03	6.56	54.51	35.27	10.35	6.24	5.04	11.79	0	58.71	30.42	3362.77	42.52	13.21
ACO2	0	0	0	0	0	0	6.01	0	5.25	0	0	15.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66	0	0	0	11.73	0	0	0	0	0	0	0	0	1.21	0	0	0.25	4.4	0	0	5.14	43.61	6.26	2.62	5.54	0	84.6	1.55	0	1.2	1.09	1.07	0	15.97	299.39	3.02	0	11.61	216.44	0	0	0	0	185.08	0	4.61	0	0	0	34.53	0	0	0	0	0	21.85	0	0	7.53	0	3.96	0	52.43	18.14	79.75	18.21	78.15	7.09	0	0	0	0	0	7.78	65.38	54.5	0	0	27.64	12.66	0	0	0	14.91	1.17	62.48	0	47.44	34.95	0	2.05	375.12
ACVR1C	0	2.73	0	0	0.93	5.48	0	0	0	0	0	0	1.06	19.97	0	0	0	0	0	0	0	2.49	0	4.85	0	0	1.91	0.96	2.58	5.11	1.95	1.94	0.2	0	0	0	0	0	0	0	0	0	0	0.42	0	0	7.55	0	0	0	2.66	2.6	3.34	2.71	0	3.1	3.18	0	1.17	0	0	0	0	0	0	0	0	0	0	0	0	6.74	1.47	0	0	0	0	0	0	0	0	0	2.68	0	0	0	2.65	3.06	0.23	0	1.15	0.15	11.75	0	0	0	3.01	0.47	0	0	5.05	0	2.02	0.14	3.27	4.14	0	0	0.52	0	0	0	8.09	0	0	2	0	0	0
ADAM10	2.3	0.74	75.76	3.4	0	1.66	1.63	4.71	3.38	1.82	2.16	1.67	0	0	0	2.23	1.67	0	0	0	0	3.56	0	3.11	0	182.88	3.69	1.28	0	5.22	2.9	0	0	20.06	0	0	1.44	5.85	5.14	1.42	0.61	1.58	0	0	0.62	0	1.28	0	4.44	2.14	0.58	7.06	0	2.65	1.35	2	101.69	20.15	0	1.05	0.3	0.03	0	0	4.45	0	2.04	0	0	12.49	2.73	86.56	21.56	0	0	0	2.15	0	0	83.13	0	1.17	0	0	23.01	42.97	2.28	0.78	3.57	9.64	20.08	7.32	0	0	40.56	0	0	0	15.99	5.18	2.27	1.01	0	1.32	1.66	1.86	0	167.76	6.77	147.19	12.45	24.97	2.72	0.35	0.86	398.69	0	170.13	4.35
