三效液相温度,三效气相温度,三效蒸发室气相压力,出料泵电流1,出料泵电流2,出料流量
52.364998,49.124996,-80.589996,11.1177,0.0207,1.0
53.579998,49.087502,-79.940002,11.1744,0.0207,1.0
53.789997,49.259998,-79.900002,11.088,0.0207,1.0
53.932499,49.755001,-79.880005,11.1411,0.0207,1.0
53.715,49.732502,-79.880005,11.0493,0.0207,1.0
53.677498,49.500004,-80.0,11.0772,0.0207,1.0
53.519997,49.417503,-80.059998,11.1087,0.0207,1.0
53.474998,49.275002,-80.130005,11.196899,0.0207,1.0
53.07,48.674999,-80.18,11.126699,0.0207,1.0
52.904999,48.540001,-80.290001,11.1618,0.0207,1.0
52.605,48.285,-80.419998,11.1852,0.0207,1.0
52.290001,48.022499,-80.57,11.2428,0.0207,1.0
53.34,47.775002,-80.050003,11.2239,0.0207,1.0
53.497498,47.962502,-80.020004,11.1807,0.0207,1.0
53.677498,48.209999,-79.940002,11.1528,0.0207,1.0
53.789997,48.442501,-80.010002,11.1195,0.0207,1.0
54.029999,48.7575,-79.849998,11.2248,0.0216,1.0
53.962502,48.892498,-79.830002,11.195999,0.0207,1.0
54.119999,49.042503,-79.739998,11.1564,0.0207,1.0
54.067501,49.079998,-79.729996,11.1276,0.0207,1.0
54.037498,49.102497,-79.779999,11.1177,0.0207,1.0
53.9925,49.087502,-79.809998,11.203199,0.0207,1.0
53.894997,49.072498,-79.770004,11.2509,0.0207,1.0
53.130001,48.7575,-80.110001,11.1717,0.0216,1.0
52.8825,48.5625,-80.199997,11.2365,0.0207,1.0
52.755001,48.375,-80.279999,11.1357,0.0207,1.0
52.252499,48.517498,-80.610001,11.169001,0.0207,1.0
52.102501,48.57,-80.589996,11.151,0.0216,1.0
53.325001,48.5625,-80.040001,11.1528,0.0207,1.0
53.789997,49.005001,-79.849998,11.1015,0.0216,1.0
53.730003,49.2225,-79.910004,11.079,0.0207,1.0
53.789997,49.5975,-79.849998,11.1447,0.0216,1.0
53.924999,49.657501,-79.849998,11.1465,0.0207,1.0
53.805,49.695,-79.82,11.1546,0.0207,1.0
53.595001,49.5975,-79.880005,11.1222,0.0216,1.0
53.565002,49.470001,-79.959999,11.1141,0.0207,1.0
53.3325,48.997498,-80.120003,11.1222,0.0216,1.0
53.107502,48.862499,-80.190002,11.0952,0.0207,1.0
52.942501,48.75,-80.239998,11.1159,0.0207,1.0
52.695,48.614998,-80.449997,11.1114,0.0207,1.0
52.567501,48.4575,-80.440002,11.201401,0.0207,1.0
52.4025,48.285,-80.57,11.183399,0.0207,1.0
52.222504,48.120003,-80.580002,11.1321,0.0216,1.0
52.117496,47.985001,-80.669998,11.177999,0.0207,1.0
51.997501,48.112499,-80.760002,11.233801,0.0207,1.0
53.197498,48.150002,-80.230003,11.1573,0.0207,1.0
55.387501,48.397499,-78.940002,11.1447,0.0207,1.0
56.475002,49.0275,-78.459999,11.1213,0.0207,1.0
56.5425,49.6875,-78.459999,11.1483,0.0216,1.0
56.4375,50.189999,-78.489998,11.0646,0.0207,1.0
55.139999,50.43,-79.32,11.184299,0.0207,1.0
53.917503,49.860001,-79.75,11.1141,0.0216,1.0
53.865002,49.6875,-79.800003,11.132999,0.0216,1.0
53.715,49.545002,-79.949997,11.1852,0.0216,1.0
53.467499,49.582497,-79.959999,11.1654,0.0216,1.0
53.047501,49.605003,-80.07,11.2626,0.0216,1.0
52.875,49.537498,-80.300003,11.1735,0.0216,1.0
52.8675,49.417503,-80.270004,11.1951,0.0216,1.0
52.904999,49.282501,-80.380005,11.0754,0.0216,1.0
52.830002,49.162498,-80.349998,11.177999,0.0216,1.0
52.642502,49.005001,-80.380005,11.203199,0.0216,1.0
52.492496,48.330002,-80.440002,11.2113,0.0216,1.0
52.252499,48.150002,-80.639999,11.2005,0.0216,1.0
52.259998,48.015003,-80.589996,11.2122,0.0216,1.0
52.02,47.880001,-80.699997,11.151899,0.0216,1.0
53.467499,47.864998,-80.110001,11.214899,0.0216,1.0
53.639999,48.067501,-80.050003,11.202299,0.0216,1.0
53.767498,48.285,-79.880005,11.1474,0.0216,1.0
53.827499,48.727497,-79.720001,11.1159,0.0216,1.0
54.000004,48.817501,-79.779999,11.164499,0.0216,1.0
53.985001,48.869999,-79.720001,11.1798,0.0207,1.0
53.775002,48.907501,-79.779999,11.1798,0.0207,1.0
53.744999,48.892498,-79.809998,11.106,0.0216,1.0
53.497498,48.809998,-79.870003,11.1105,0.0216,1.0
53.422501,48.900002,-79.989998,11.1366,0.0216,1.0
53.099998,49.065002,-80.099998,11.184299,0.0207,1.0
53.025002,49.035,-80.220001,11.1825,0.0216,1.0
52.709999,48.607502,-80.279999,11.1195,0.0207,1.0
52.327503,48.735001,-80.449997,11.1915,0.0216,1.0
52.290001,48.764999,-80.580002,11.151899,0.0207,1.0
51.862499,48.6525,-80.720001,11.2167,0.0216,1.0
51.817501,48.5625,-80.239998,11.2131,0.0216,1.0
53.384998,48.57,-80.010002,11.227499,0.0207,1.0
53.647503,48.772503,-79.729996,11.1357,0.0216,1.0
53.692501,49.079998,-79.919998,11.1096,0.0216,1.0
